founded_year,status,total_funding,average_funding,total_rounds,num_companies,avg_funding_per_round_agg,avg_funding_per_year_existence_agg
1977,operating,32331315.5,3592368.388888889,17,9,1995868.351851852,73313.64058956917
1978,acquired,16849812.5,8424906.25,2,2,8424906.25,175518.88020833334
1978,closed,6500000.0,6500000.0,1,1,6500000.0,135416.66666666666
1978,operating,145777981.5,7672525.342105263,22,19,6957561.903508772,159844.27796052632
1979,acquired,33699625.0,16849812.5,7,2,4914528.645833334,358506.6489361702
1979,closed,16849812.5,16849812.5,4,1,4212453.125,358506.6489361702
1979,operating,91194240.5,5364367.088235294,21,17,4502972.960784314,114135.46996245306
1980,acquired,36699625.0,7339925.0,7,5,3969962.5,159563.58695652173
1980,closed,250000.0,250000.0,1,1,250000.0,5434.782608695652
1980,operating,179431270.5,6187285.189655173,38,29,5925601.818965517,134506.19977511244
1981,acquired,16924812.5,4231203.125,4,4,4231203.125,94026.73611111111
1981,closed,32890277.5,10963425.833333334,13,3,2152333.9285714286,243631.68518518517
1981,operating,141221622.0,5431600.846153846,34,26,4206049.091346154,120702.24102564102
1982,acquired,28405455.5,4734242.583333333,6,6,4734242.583333333,107596.42234848485
1982,closed,0.0,,0,0,,
1982,operating,38399812.5,2953831.730769231,15,13,2726524.0384615385,67132.53933566433
1983,acquired,42929831.5,5366228.9375,12,8,3898740.65625,124796.02180232557
1983,closed,0.0,0.0,1,1,0.0,0.0
1983,operating,190887206.0,4894543.743589744,52,39,4153769.19017094,113826.59868813356
1984,acquired,35099625.0,5014232.142857143,9,7,3409488.0952380956,119386.47959183673
1984,closed,10550000.0,10550000.0,2,1,5275000.0,251190.47619047618
1984,operating,292547089.5,5970348.765306123,63,49,5208185.380952381,142151.1610787172
1985,acquired,59972396.5,7496549.5625,18,8,5581798.142045455,182842.67225609755
1985,closed,670000.0,670000.0,1,1,670000.0,16341.463414634147
1985,operating,313927885.0,6406691.530612245,75,49,4911703.578231293,156260.76903932303
1986,acquired,34699625.0,6939925.0,10,5,2446641.666666667,173498.125
1986,closed,16849812.5,16849812.5,4,1,4212453.125,421245.3125
1986,operating,238030209.5,7213036.651515151,51,33,4294352.702020202,180325.9162878788
1987,acquired,46798026.0,9359605.2,9,5,5522293.225,239989.8769230769
1987,closed,10000.0,10000.0,1,1,10000.0,256.4102564102564
1987,operating,301821278.0,7186220.904761905,66,42,5353577.7698412705,184262.07448107447
1988,acquired,32849812.5,8212453.125,4,4,8212453.125,216117.1875
1988,closed,15067737.0,5022579.0,4,3,4177956.1666666665,132173.13157894736
1988,operating,271119587.0,6455228.261904762,62,42,5000866.839285715,169874.42794486214
1989,acquired,77399250.0,8599916.666666666,13,9,5479581.018518519,232430.18018018018
1989,closed,9838225.0,4919112.5,3,2,2634004.25,132948.98648648648
1989,operating,420681343.5,7380374.447368421,75,57,5722931.46491228,199469.57965860597
1990,acquired,56949812.5,7118726.5625,11,8,4496863.28125,197742.4045138889
1990,closed,22849812.5,7616604.166666667,4,3,4808302.083333333,211572.33796296295
1990,operating,254992975.0,5795294.886363637,65,44,4278245.253156566,160980.41351010103
1991,acquired,32738612.5,6547722.5,7,5,4301080.833333334,187077.7857142857
1991,closed,16949812.5,8474906.25,2,2,8474906.25,242140.17857142855
1991,operating,381211552.0,7474736.31372549,85,51,5451904.200980392,213563.89467787114
1992,acquired,5100000.0,1275000.0,4,4,1275000.0,37500.0
1992,closed,6000000.0,6000000.0,1,1,6000000.0,176470.58823529413
1992,operating,502692337.0,7502870.701492538,103,67,5674709.953980099,220672.667690957
1993,acquired,117749062.5,10704460.227272727,17,11,8662058.712121211,324377.5826446281
1993,closed,18767181.5,4691795.375,6,4,2414647.6875,142175.61742424243
1993,operating,526188244.5,6118467.959302326,129,86,4505577.010658915,185408.11997885836
1994,acquired,85453917.0,7768537.909090909,14,11,5833814.409090909,242766.8096590909
1994,closed,16596500.0,5532166.666666667,3,3,5532166.666666667,172880.20833333334
1994,operating,594093035.5,7334481.919753087,127,81,5428589.528549382,229202.55999228396
1995,acquired,189061125.5,9002910.738095239,36,21,6012659.108730159,290416.47542242706
1995,closed,0.0,0.0,1,1,0.0,0.0
1995,operating,897065013.0,6744849.721804512,212,133,4487576.173350042,217575.7974775649
1996,acquired,220975383.5,9207307.645833334,54,24,5095295.956679895,306910.2548611111
1996,closed,71046242.5,5920520.208333333,17,12,3990535.9444444445,197350.6736111111
1996,operating,1031412371.5,6527926.401898734,264,158,4615946.901570977,217597.5467299578
1997,acquired,356574835.5,9383548.30263158,63,38,6740476.041353383,323570.63112522685
1997,closed,51453312.5,5717034.722222222,21,9,3189289.0625,197139.1283524904
1997,operating,1345890989.0,6831933.954314721,341,197,4401177.273449964,235583.92945912833
1998,acquired,435552943.0,8376018.134615385,90,52,5310654.120764652,299143.5048076923
1998,closed,35709702.0,3246336.5454545454,15,11,2190835.909090909,115940.59090909091
1998,operating,1627166078.0,6508664.312,439,250,4008772.393785714,232452.29685714288
1999,acquired,1025869217.0,10798623.336842105,210,95,5970401.440935672,399949.0124756335
1999,closed,166775807.5,7941705.119047619,39,21,4098044.156746032,294137.2266313933
1999,operating,3006719913.0,7141852.524940617,786,421,4148561.5001062974,264513.05647928215
2000,acquired,1058298639.0,10274744.067961166,206,103,5693055.581917476,395182.4641523525
2000,closed,250343757.5,8075605.080645162,53,31,5803862.093413979,310600.1954094293
2000,operating,3843683104.5,7828275.16191446,959,491,4609829.319047995,301087.5062274792
2001,acquired,672123929.0,10340368.138461538,146,65,5778144.273021977,413614.7255384615
2001,closed,164037875.0,8633572.368421054,40,19,4101881.4418859645,345342.8947368421
2001,operating,3072104060.5,7111351.991898148,885,432,3781091.699122299,284454.07967592595
2002,acquired,871502035.0,11318208.246753247,164,77,6853946.220083488,471592.0102813853
2002,closed,97651203.5,4882560.175,33,20,2672890.2458333336,203440.00729166667
2002,operating,3070818251.5,7294105.110451306,834,421,4018172.797786174,303921.04626880446
2003,acquired,844396689.5,10173454.090361446,175,83,5214068.065512048,442324.0908852802
2003,closed,248221368.0,7756917.75,50,32,5164494.53125,337257.29347826086
2003,operating,3499037431.5,6690320.136711281,1059,523,3624587.4943976086,290883.4842048383
2004,acquired,903463903.5,10755522.660714285,204,84,5026296.093360261,488887.3936688312
2004,closed,311529303.0,6922873.4,68,45,4610154.076851852,314676.0636363636
2004,operating,4600412475.0,7504751.182707993,1339,613,3923615.56207884,341125.0537594543
2005,acquired,1226855969.0,10139305.52892562,295,121,4654179.97129575,482824.07280598185
2005,closed,483482849.0,7674330.936507937,109,63,4751398.864087301,365444.33030990174
2005,operating,4826518785.5,6317432.965314136,1578,764,3165203.021006177,300830.14120543504
2006,acquired,1259146288.5,8565621.010204082,321,147,4456475.4257977,428281.05051020405
2006,closed,385803585.5,4239599.840659341,150,91,2386484.428113553,211979.992032967
2006,operating,5616485054.0,6058775.678532902,1858,927,3195899.922024082,302938.78392664506
